.02, 495.000, 507.000, 562.00, 00.00, 0443, 0456
.05, 495.000, 508.000, 546.00, 510.00, 0470, 0456
.11, 523.000, 510.000, 546.00, 510.00, 0470, 0456
.18, 471.000, 514.000, 522.00, 510.00, 0554, 0554
.27, 502.000, 518.000, 551.00, 511.00, 0554, 0554
.32, 544.000, 516.000, 566.00, 511.00, 0566, 0554
.471, 528.000, 506.000, 550.00, 512.00, 0607, 0610
.531, 486.000, 504.000, 540.00, 512.00, 0632, 0636
.601, 490.000, 505.000, 511.00, 512.00, 0652, 0636
.671, 490.000, 506.000, 514.00, 512.00, 0648, 0636
.751, 486.000, 504.000, 500.00, 512.00, 0636, 0634
.801, 486.000, 503.000, 498.00, 511.00, 0615, 0611
.871, 506.000, 504.000, 517.00, 510.00, 0589, 0587
.951, 478.000, 504.000, 522.00, 510.00, 0579, 0579
1.021, 507.000, 504.000, 522.00, 510.00, 0576, 0576
1.152, 472.000, 502.000, 509.00, 509.00, 0566, 0565
1.222, 482.000, 504.000, 490.00, 509.00, 0554, 0554
1.282, 530.000, 510.000, 500.00, 508.00, 0554, 0554
1.432, 496.000, 520.000, 516.00, 507.00, 0470, 0469
1.502, 530.000, 520.000, 554.00, 508.00, 0470, 0460
1.572, 486.000, 520.000, 544.00, 509.00, 0554, 0460
1.632, 506.000, 520.000, 550.00, 509.00, 0554, 0470
1.722, 492.000, 519.000, 542.00, 509.00, 0554, 0554
1.783, 510.000, 516.000, 542.00, 509.00, 0567, 0554
1.873, 560.000, 512.000, 550.00, 510.00, 0578, 0566
1.943, 525.000, 516.000, 559.00, 511.00, 0578, 0594
2.003, 453.000, 523.000, 562.00, 511.00, 0578, 0626
2.093, 502.000, 530.000, 554.00, 512.00, 0683, 0626
2.233, 444.000, 530.000, 488.00, 511.00, 0712, 0684
2.353, 484.000, 530.000, 473.00, 508.00, 0642, 0591
2.433, 504.000, 529.000, 485.00, 507.00, 0594, 0591
2.584, 485.000, 528.000, 501.00, 507.00, 0554, 0470
2.634, 548.000, 531.000, 532.00, 507.00, 0554, 0441
2.774, 508.000, 531.000, 562.00, 507.00, 0470, 0435
2.854, 483.000, 532.000, 577.00, 508.00, 0554, 0469
2.924, 506.000, 532.000, 565.00, 509.00, 0571, 0554
2.994, 564.000, 534.000, 535.00, 510.00, 0612, 0559
3.054, 495.000, 534.000, 520.00, 511.00, 0621, 0559
3.124, 507.000, 534.000, 544.00, 511.00, 0624, 0574
3.205, 495.000, 534.000, 563.00, 511.00, 0640, 0596
3.285, 475.000, 532.000, 548.00, 511.00, 0671, 0596
3.345, 476.000, 532.000, 540.00, 511.00, 0671, 0665
3.405, 548.000, 533.000, 530.00, 511.00, 0709, 0682
3.485, 548.000, 532.000, 518.00, 511.00, 0716, 0682
3.555, 559.000, 532.000, 501.00, 511.00, 0712, 0682
3.695, 487.000, 530.000, 496.00, 510.00, 0669, 0631
3.755, 546.000, 530.000, 493.00, 509.00, 0645, 0603
3.836, 546.000, 528.000, 504.00, 509.00, 0618, 0570
3.906, 474.000, 528.000, 520.00, 509.00, 0597, 0554
4.086, 496.000, 527.000, 531.00, 509.00, 0589, 0554
4.156, 507.000, 527.000, 552.00, 510.00, 0596, 0554
4.276, 500.000, 528.000, 555.00, 511.00, 0644, 0615
4.336, 472.000, 534.000, 554.00, 511.00, 0674, 0647
4.426, 523.000, 543.000, 567.00, 512.00, 0674, 0675
4.476, 560.000, 536.000, 521.00, 512.00, 0745, 0675
4.547, 560.000, 514.000, 484.00, 512.00, 0743, 0722
4.627, 556.000, 498.000, 507.00, 512.00, 0701, 0697
4.697, 499.000, 497.000, 502.00, 512.00, 0673, 0697
4.837, 442.000, 506.000, 515.00, 512.00, 0647, 0645
4.907, 478.000, 498.000, 463.00, 511.00, 0634, 0631
4.957, 522.000, 498.000, 462.00, 509.00, 0634, 0631
5.037, 511.000, 488.000, 506.00, 508.00, 0634, 0554
5.107, 536.000, 488.000, 500.00, 509.00, 0470, 0554
5.177, 532.000, 492.000, 528.00, 510.00, 0457, 0470
5.248, 506.000, 498.000, 556.00, 510.00, 0455, 0470
5.308, 512.000, 508.000, 494.00, 511.00, 0470, 0470
5.388, 508.000, 514.000, 505.00, 510.00, 0462, 0449
5.538, 516.000, 512.000, 510.00, 510.00, 0466, 0441
5.658, 516.000, 506.000, 584.00, 511.00, 0470, 0470
5.718, 516.000, 508.000, 558.00, 512.00, 0470, 0470
5.798, 486.000, 514.000, 527.00, 512.00, 0582, 0579
5.888, 552.000, 512.000, 522.00, 512.00, 0595, 0579
5.949, 494.000, 511.000, 476.00, 512.00, 0587, 0569
6.089, 474.000, 512.000, 482.00, 507.00, 0440, 0569
6.259, 587.000, 509.000, 579.00, 506.00, 0303, 0299
6.339, 498.000, 506.000, 616.00, 511.00, 0427, 0346
6.409, 484.000, 506.000, 614.00, 511.00, 0554, 0554
6.479, 391.000, 506.000, 506.00, 516.00, 0615, 0627
6.61, 528.000, 507.000, 528.00, 515.00, 0649, 0652
6.68, 460.000, 507.000, 495.00, 514.00, 0658, 0657
6.74, 448.000, 506.000, 459.00, 514.00, 0636, 0630
6.8, 476.000, 507.000, 436.00, 511.00, 0578, 0566
6.87, 476.000, 507.000, 401.00, 509.00, 0470, 0566
7.01, 548.000, 507.000, 497.00, 507.00, 0356, 0352
7.07, 540.000, 507.000, 544.00, 508.00, 0329, 0352
7.16, 582.000, 506.000, 561.00, 508.00, 0343, 0346
7.2, 572.000, 506.000, 572.00, 510.00, 0376, 0383
7.26, 440.000, 504.000, 524.00, 511.00, 0421, 0383
7.341, 504.000, 505.000, 515.00, 510.00, 0428, 0426
7.411, 504.000, 505.000, 507.00, 509.00, 0415, 0411
7.511, 452.000, 506.000, 502.00, 509.00, 0395, 0392
7.541, 508.000, 506.000, 516.00, 509.00, 0395, 0392
7.681, 508.000, 506.000, 566.00, 508.00, 0373, 0376
7.741, 506.000, 506.000, 606.00, 509.00, 0406, 0376
7.801, 506.000, 506.000, 636.00, 511.00, 0470, 0470
7.881, 377.000, 507.000, 531.00, 513.00, 0586, 0602
7.931, 386.000, 508.000, 551.00, 513.00, 0586, 0635
8.082, 484.000, 504.000, 472.00, 512.00, 0663, 0659
8.142, 513.000, 504.000, 470.00, 511.00, 0620, 0659
8.202, 522.000, 504.000, 474.00, 511.00, 0564, 0555
8.292, 515.000, 504.000, 502.00, 508.00, 0470, 0555
8.412, 543.000, 502.000, 533.00, 507.00, 0470, 0470
8.472, 495.000, 502.000, 526.00, 507.00, 0470, 0470
8.552, 492.000, 502.000, 520.00, 508.00, 0470, 0470
8.632, 487.000, 502.000, 520.00, 508.00, 0470, 0470
8.763, 487.000, 504.000, 515.00, 507.00, 0462, 0461
8.833, 466.000, 504.000, 520.00, 507.00, 0453, 0452
8.903, 499.000, 503.000, 514.00, 507.00, 0447, 0446
9.003, 504.000, 503.000, 527.00, 507.00, 0438, 0439
9.103, 488.000, 503.000, 535.00, 507.00, 0439, 0451
9.163, 498.000, 503.000, 540.00, 508.00, 0459, 0460
9.243, 506.000, 504.000, 543.00, 508.00, 0470, 0470
9.303, 522.000, 504.000, 552.00, 508.00, 0470, 0470
9.373, 512.000, 506.000, 534.00, 509.00, 0470, 0470
9.434, 490.000, 506.000, 526.00, 509.00, 0554, 0554
9.604, 516.000, 504.000, 518.00, 508.00, 0470, 0470
9.664, 486.000, 500.000, 524.00, 508.00, 0470, 0470
9.724, 486.000, 501.000, 526.00, 508.00, 0470, 0470
9.864, 502.000, 502.000, 532.00, 508.00, 0470, 0470
9.934, 520.000, 502.000, 532.00, 508.00, 0470, 0470
10.074, 506.000, 503.000, 516.00, 508.00, 0470, 0470
10.135, 502.000, 504.000, 518.00, 508.00, 0470, 0470
10.215, 516.000, 504.000, 528.00, 508.00, 0470, 0470
10.285, 498.000, 504.000, 535.00, 508.00, 0470, 0470
10.345, 498.000, 504.000, 537.00, 508.00, 0470, 0470
10.415, 495.000, 504.000, 534.00, 508.00, 0470, 0470
10.555, 494.000, 505.000, 522.00, 509.00, 0554, 0554
10.645, 494.000, 506.000, 520.00, 509.00, 0470, 0554
10.695, 507.000, 506.000, 528.00, 509.00, 0470, 0554
10.765, 507.000, 507.000, 546.00, 509.00, 0470, 0470
10.846, 507.000, 506.000, 542.00, 509.00, 0554, 0554
10.906, 507.000, 506.000, 540.00, 509.00, 0554, 0554
10.986, 514.000, 506.000, 540.00, 510.00, 0554, 0557
11.056, 508.000, 506.000, 520.00, 510.00, 0554, 0570
11.166, 516.000, 510.000, 513.00, 510.00, 0555, 0554
11.246, 516.000, 510.000, 517.00, 510.00, 0554, 0554
11.306, 488.000, 510.000, 511.00, 510.00, 0554, 0554
11.366, 490.000, 510.000, 529.00, 510.00, 0554, 0554
11.517, 500.000, 507.000, 546.00, 510.00, 0554, 0554
11.587, 502.000, 507.000, 544.00, 511.00, 0560, 0563
11.637, 504.000, 507.000, 533.00, 511.00, 0579, 0581
11.707, 512.000, 510.000, 515.00, 511.00, 0588, 0588
